open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_filename
2023-01-01,0.3389,0.34,0.3354,0.3387,102026821.0,2023-01-01 23:59:59.999000,34471638.5714,48661,53592277.0,18107900.6475,XRPUSDT-1d-2023-01.csv
2023-01-02,0.3386,0.3555,0.3,0.3482,647520487.0,2023-01-02 23:59:59.999000,217803999.7446,285660,320823575.0,108056946.6236,XRPUSDT-1d-2023-01.csv
2023-01-03,0.3482,0.352,0.3395,0.3436,346410334.0,2023-01-03 23:59:59.999000,119511328.6711,154113,172318472.0,59448460.9027,XRPUSDT-1d-2023-01.csv
2023-01-04,0.3436,0.3605,0.339,0.3472,372672796.0,2023-01-04 23:59:59.999000,129585304.7284,147677,193027855.0,67139279.1042,XRPUSDT-1d-2023-01.csv
2023-01-05,0.3471,0.3487,0.3333,0.338,265529668.0,2023-01-05 23:59:59.999000,90735849.1365,106910,129294274.0,44187813.6661,XRPUSDT-1d-2023-01.csv
2023-01-06,0.338,0.3462,0.3311,0.3443,278304929.0,2023-01-06 23:59:59.999000,93853937.033,124811,141179233.0,47616379.1864,XRPUSDT-1d-2023-01.csv
2023-01-07,0.3442,0.3457,0.3413,0.3442,103851424.0,2023-01-07 23:59:59.999000,35685499.4695,54864,50831317.0,17471422.5729,XRPUSDT-1d-2023-01.csv
2023-01-08,0.3442,0.3469,0.3354,0.3452,185516324.0,2023-01-08 23:59:59.999000,63235820.0018,87967,92948507.0,31689407.3897,XRPUSDT-1d-2023-01.csv
2023-01-09,0.3452,0.3576,0.3437,0.349,527746615.0,2023-01-09 23:59:59.999000,185161444.2836,207757,254824357.0,89419804.3749,XRPUSDT-1d-2023-01.csv
2023-01-10,0.3489,0.3541,0.3432,0.3507,338577860.0,2023-01-10 23:59:59.999000,118256165.1944,126247,173055172.0,60442037.7148,XRPUSDT-1d-2023-01.csv
2023-01-11,0.3506,0.3785,0.3477,0.3728,626037461.0,2023-01-11 23:59:59.999000,228637315.3745,264481,316060030.0,115363462.2207,XRPUSDT-1d-2023-01.csv
